,id,titulo,lingua_original,lancamento,popularidade,media_dos_votos,qtds_votos,tipo_de_midia,adulto
0,638974,Murder Mystery 2,Ingles,2023-03-26,235.901,6.8,187,Filme,False
1,677179,Creed III,Ingles,2023-03-01,1537.879,7.2,561,Filme,False
2,726759,Tetris,Ingles,2023-03-15,66.661,7.7,100,Filme,False
3,76600,Avatar: The Way of Water,Ingles,2022-12-14,10224.28,7.742,6335,Filme,False
4,849869,길복순,Koreano,2023-02-17,33.985,6.9,39,Filme,False
5,603692,John Wick: Chapter 4,Ingles,2023-03-22,2569.508,8.161,635,Filme,False
6,493529,Dungeons & Dragons: Honor Among Thieves,Ingles,2023-03-23,702.523,7.598,128,Filme,False
7,932430,Prom Pact,Ingles,2023-03-30,85.403,8.0,10,Filme,False
8,95558,,Ingles,,64.625,8.0,8,Tv,False
9,816904,Momias,Espanhol,2023-01-05,1224.45,7.008,64,Filme,False
10,514999,Murder Mystery,Ingles,2019-05-25,197.421,6.252,3642,Filme,False
11,1049638,Rye Lane,Ingles,2023-03-17,30.374,7.778,18,Filme,False
12,739405,Operation Fortune: Ruse de Guerre,Ingles,2023-01-04,184.229,6.721,297,Filme,False
13,158876,,Chines,,58.304,8.4,9,Tv,False
14,921355,Assassin,Ingles,2023-03-31,80.805,4.8,11,Filme,False
15,117465,,Japones,,62.392,10.0,4,Tv,False
16,933419,Champions,Ingles,2023-03-09,104.315,6.512,43,Filme,False
17,208891,,Japones,,59.825,8.667,3,Tv,False
18,878375,On a Wing and a Prayer,Ingles,2023-04-06,53.714,8.0,4,Filme,False
19,82856,,Ingles,,1108.646,8.488,8697,Tv,False
20,638974,Murder Mystery 2,Ingles,2023-03-26,235.901,6.8,187,Filme,False
21,677179,Creed III,Ingles,2023-03-01,1537.879,7.2,561,Filme,False
22,726759,Tetris,Ingles,2023-03-15,66.661,7.7,100,Filme,False
23,76600,Avatar: The Way of Water,Ingles,2022-12-14,10224.28,7.742,6335,Filme,False
24,849869,길복순,Koreano,2023-02-17,33.985,6.9,39,Filme,False
25,603692,John Wick: Chapter 4,Ingles,2023-03-22,2569.508,8.161,635,Filme,False
26,493529,Dungeons & Dragons: Honor Among Thieves,Ingles,2023-03-23,702.523,7.598,128,Filme,False
27,932430,Prom Pact,Ingles,2023-03-30,85.403,8.0,10,Filme,False
28,95558,,Ingles,,64.625,8.0,8,Tv,False
29,816904,Momias,Espanhol,2023-01-05,1224.45,7.008,64,Filme,False
30,514999,Murder Mystery,Ingles,2019-05-25,197.421,6.252,3642,Filme,False
31,1049638,Rye Lane,Ingles,2023-03-17,30.374,7.778,18,Filme,False
32,739405,Operation Fortune: Ruse de Guerre,Ingles,2023-01-04,184.229,6.721,297,Filme,False
33,158876,,Chines,,58.304,8.4,9,Tv,False
34,921355,Assassin,Ingles,2023-03-31,80.805,4.8,11,Filme,False
35,117465,,Japones,,62.392,10.0,4,Tv,False
36,933419,Champions,Ingles,2023-03-09,104.315,6.512,43,Filme,False
37,208891,,Japones,,59.825,8.667,3,Tv,False
38,878375,On a Wing and a Prayer,Ingles,2023-04-06,53.714,8.0,4,Filme,False
39,82856,,Ingles,,1108.646,8.488,8697,Tv,False
40,638974,Murder Mystery 2,Ingles,2023-03-26,235.901,6.8,187,Filme,False
41,677179,Creed III,Ingles,2023-03-01,1537.879,7.2,561,Filme,False
42,726759,Tetris,Ingles,2023-03-15,66.661,7.7,100,Filme,False
43,76600,Avatar: The Way of Water,Ingles,2022-12-14,10224.28,7.742,6335,Filme,False
44,849869,길복순,Koreano,2023-02-17,33.985,6.9,39,Filme,False
45,603692,John Wick: Chapter 4,Ingles,2023-03-22,2569.508,8.161,635,Filme,False
46,493529,Dungeons & Dragons: Honor Among Thieves,Ingles,2023-03-23,702.523,7.598,128,Filme,False
47,932430,Prom Pact,Ingles,2023-03-30,85.403,8.0,10,Filme,False
48,95558,,Ingles,,64.625,8.0,8,Tv,False
49,816904,Momias,Espanhol,2023-01-05,1224.45,7.008,64,Filme,False
50,514999,Murder Mystery,Ingles,2019-05-25,197.421,6.252,3642,Filme,False
51,1049638,Rye Lane,Ingles,2023-03-17,30.374,7.778,18,Filme,False
52,739405,Operation Fortune: Ruse de Guerre,Ingles,2023-01-04,184.229,6.721,297,Filme,False
53,158876,,Chines,,58.304,8.4,9,Tv,False
54,921355,Assassin,Ingles,2023-03-31,80.805,4.8,11,Filme,False
55,117465,,Japones,,62.392,10.0,4,Tv,False
56,933419,Champions,Ingles,2023-03-09,104.315,6.512,43,Filme,False
57,208891,,Japones,,59.825,8.667,3,Tv,False
58,878375,On a Wing and a Prayer,Ingles,2023-04-06,53.714,8.0,4,Filme,False
59,82856,,Ingles,,1108.646,8.488,8697,Tv,False
60,638974,Murder Mystery 2,Ingles,2023-03-26,235.901,6.8,187,Filme,False
61,677179,Creed III,Ingles,2023-03-01,1537.879,7.2,561,Filme,False
62,726759,Tetris,Ingles,2023-03-15,66.661,7.7,100,Filme,False
63,76600,Avatar: The Way of Water,Ingles,2022-12-14,10224.28,7.742,6335,Filme,False
64,849869,길복순,Koreano,2023-02-17,33.985,6.9,39,Filme,False
65,603692,John Wick: Chapter 4,Ingles,2023-03-22,2569.508,8.161,635,Filme,False
66,493529,Dungeons & Dragons: Honor Among Thieves,Ingles,2023-03-23,702.523,7.598,128,Filme,False
67,932430,Prom Pact,Ingles,2023-03-30,85.403,8.0,10,Filme,False
68,95558,,Ingles,,64.625,8.0,8,Tv,False
69,816904,Momias,Espanhol,2023-01-05,1224.45,7.008,64,Filme,False
70,514999,Murder Mystery,Ingles,2019-05-25,197.421,6.252,3642,Filme,False
71,1049638,Rye Lane,Ingles,2023-03-17,30.374,7.778,18,Filme,False
72,739405,Operation Fortune: Ruse de Guerre,Ingles,2023-01-04,184.229,6.721,297,Filme,False
73,158876,,Chines,,58.304,8.4,9,Tv,False
74,921355,Assassin,Ingles,2023-03-31,80.805,4.8,11,Filme,False
75,117465,,Japones,,62.392,10.0,4,Tv,False
76,933419,Champions,Ingles,2023-03-09,104.315,6.512,43,Filme,False
77,208891,,Japones,,59.825,8.667,3,Tv,False
78,878375,On a Wing and a Prayer,Ingles,2023-04-06,53.714,8.0,4,Filme,False
79,82856,,Ingles,,1108.646,8.488,8697,Tv,False
80,638974,Murder Mystery 2,Ingles,2023-03-26,235.901,6.8,187,Filme,False
81,677179,Creed III,Ingles,2023-03-01,1537.879,7.2,561,Filme,False
82,726759,Tetris,Ingles,2023-03-15,66.661,7.7,100,Filme,False
83,76600,Avatar: The Way of Water,Ingles,2022-12-14,10224.28,7.742,6335,Filme,False
84,849869,길복순,Koreano,2023-02-17,33.985,6.9,39,Filme,False
85,603692,John Wick: Chapter 4,Ingles,2023-03-22,2569.508,8.161,635,Filme,False
